date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:11	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225977a2f2-247c%22	http://joelpinheiro.github.io/robots.txt		(from )
22:55:11	29738/29738	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/	C:/Meus%20Sites/copy/joelpinheiro.github.io/index.html	(from )
22:55:12	1825/1825	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/css/normalize.css	C:/Meus%20Sites/copy/joelpinheiro.github.io/css/normalize.css	(from http://joelpinheiro.github.io/)
22:55:12	114011/114011	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/css/bootstrap.min.css	C:/Meus%20Sites/copy/joelpinheiro.github.io/css/bootstrap.min.css	(from http://joelpinheiro.github.io/)
22:55:13	21984/21984	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/css/font-awesome.min.css	C:/Meus%20Sites/copy/joelpinheiro.github.io/css/font-awesome.min.css	(from http://joelpinheiro.github.io/)
22:55:13	34765/34765	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/css/style.css	C:/Meus%20Sites/copy/joelpinheiro.github.io/css/style.css	(from http://joelpinheiro.github.io/)
22:55:13	4578/4578	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/css/style-responsive.css	C:/Meus%20Sites/copy/joelpinheiro.github.io/css/style-responsive.css	(from http://joelpinheiro.github.io/)
22:55:14	73697/73697	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/css/settings.css	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/css/settings.css	(from http://joelpinheiro.github.io/)
22:55:14	14243/14243	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/images/slide1.jpg	C:/Meus%20Sites/copy/joelpinheiro.github.io/images/slide1.jpg	(from http://joelpinheiro.github.io/)
22:55:16	14243/14243	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/images/slide2.jpg	C:/Meus%20Sites/copy/joelpinheiro.github.io/images/slide2.jpg	(from http://joelpinheiro.github.io/)
22:55:17	17071/17071	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/images/clients.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/images/clients.png	(from http://joelpinheiro.github.io/)
22:55:17	15415/15415	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/modernizr.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/modernizr.js	(from http://joelpinheiro.github.io/)
22:55:18	4515/4515	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.sticky.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.sticky.js	(from http://joelpinheiro.github.io/)
22:55:19	8699/8699	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.easing-1.3.pack.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.easing-1.3.pack.js	(from http://joelpinheiro.github.io/)
22:55:21	27824/27824	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/bootstrap.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/bootstrap.min.js	(from http://joelpinheiro.github.io/)
22:55:21	1828/1828	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.parallax-1.1.3.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.parallax-1.1.3.js	(from http://joelpinheiro.github.io/)
22:55:22	3188/3188	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.appear.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.appear.js	(from http://joelpinheiro.github.io/)
22:55:22	84245/84245	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.min.js	(from http://joelpinheiro.github.io/)
22:55:23	2781/2781	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.fitvids.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.fitvids.js	(from http://joelpinheiro.github.io/)
22:55:23	16920/16920	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.flexslider.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.flexslider.min.js	(from http://joelpinheiro.github.io/)
22:55:24	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/waypoints.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/waypoints.min.js	(from http://joelpinheiro.github.io/)
22:55:25	2602/2602	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery-countTo.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery-countTo.js	(from http://joelpinheiro.github.io/)
22:55:25	41969/41969	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/swiper.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/swiper.min.js	(from http://joelpinheiro.github.io/)
22:55:25	3920/3920	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/easyPieChart.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/easyPieChart.js	(from http://joelpinheiro.github.io/)
22:55:26	11276/11276	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/smoothscroll.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/smoothscroll.js	(from http://joelpinheiro.github.io/)
22:55:27	16033/16033	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.isotope.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.isotope.min.js	(from http://joelpinheiro.github.io/)
22:55:27	86526/86526	---M--	200	added ('OK')	application/pdf	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/cv/JOEL_PINHEIRO_CV_12022016.pdf	C:/Meus%20Sites/copy/joelpinheiro.github.io/cv/JOEL_PINHEIRO_CV_12022016.pdf	(from http://joelpinheiro.github.io/)
22:55:27	2643/2643	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/gmap-settings.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/gmap-settings.js	(from http://joelpinheiro.github.io/)
22:55:28	21078/21078	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.validate.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.validate.min.js	(from http://joelpinheiro.github.io/)
22:55:29	56878/56878	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/jquery.nicescroll.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/jquery.nicescroll.min.js	(from http://joelpinheiro.github.io/)
22:55:30	19599/19599	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/js/script.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/js/script.js	(from http://joelpinheiro.github.io/)
22:55:33	113046/113046	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://joelpinheiro.github.io/)
22:55:34	95453/95453	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/rs-plugin/js/jquery.themepunch.tools.min.js	C:/Meus%20Sites/copy/joelpinheiro.github.io/rs-plugin/js/jquery.themepunch.tools.min.js	(from http://joelpinheiro.github.io/)
22:55:34	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225977a2f2-247c%22	http://joelpinheiro.github.io/fonts/glyphicons-halflings-regular.eot	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/glyphicons-halflings-regular.eot	(from http://joelpinheiro.github.io/css/bootstrap.min.css)
